WIN_Site_ID,Longitude,Latitude,Collect_Month,Collect_Year,date_,DOC,DON,DON_ratio,NOx,NH4
23028609,115.682584,-31.54344,6,2009,39965,1,0.25,0.874125874,0.005,0.031
3092,115.901268,-32.293369,6,2016,42522,2.9,0.25,0.833333333,0.01,0.04
23028610,115.682584,-31.54345,6,2009,39965,0.5,0.25,0.657894737,0.12,0.01
23028611,115.682584,-31.543465,6,2009,39965,1,0.25,0.328947368,0.5,0.01
23028425,115.886302,-31.424498,6,2009,39965,14,0.25,0.274725275,0.18,0.48
3115,115.972843,-32.208039,6,2016,42522,28,0.25,0.01914242,12.8,0.01
4884,115.958354,-31.90012,3,2016,42430,5.7,0.25,0.909090909,0.005,0.02
23028605,115.677014,-31.544161,6,2009,39965,4,0.25,0.515463918,0.005,0.23
23028608,115.678855,-31.548336,6,2008,39600,7,0.25,0.217580505,0.019,0.88
23028601,115.688324,-31.557651,6,2009,39965,0.5,0.25,0.915750916,0.013,0.01
23028602,115.688334,-31.557649,6,2009,39965,0.5,0.25,0.786163522,0.058,0.01
8297697,115.685182,-31.5432,3,2016,42430,0.1,0.25,0.625,0.01,0.14
13593602,115.690363,-31.575226,3,2016,42430,6.4,1.58,0.185882353,0.02,6.9
23033950,115.788231,-31.877304,11,2009,40118,6,0.25,0.915750916,0.013,0.01
14413068,115.763667,-31.865862,3,2016,42430,3.8,1.1,0.255813953,3.1,0.1
5020,115.803422,-31.788138,4,2016,42461,2.7,1.58,0.929411765,0.03,0.09
23028598,115.683989,-31.555703,6,2009,39965,0.5,0.25,0.825082508,0.043,0.01
23028604,115.687104,-31.56214,6,2008,39600,0.5,0.25,0.555555556,0.19,0.01
4923,115.669123,-31.557947,3,2016,42430,0.1,1.04,0.859504132,0.16,0.01
12078916,115.846844,-32.214106,6,2009,39965,4,0.25,0.225225225,0.85,0.01
23033946,115.682999,-31.580337,6,2009,39965,71,0.25,0.020389854,0.011,12
4380,115.790957,-31.845881,3,2016,42430,15.8,0.933333,0.928689884,0.005,0.066667
5450,115.814313,-32.150173,7,2016,42552,67,0.69,0.405882353,0.02,0.99
5583,115.735685,-31.635286,9,2008,39692,4,0.25,0.485436893,0.005,0.26
5452,115.821696,-32.144153,6,2016,42522,30,1.71,0.85286783,0.005,0.29
5451,115.819604,-32.14932,7,2016,42552,0.1,0.25,0.027262814,8.9,0.02
5563,115.735622,-31.635286,9,2008,39692,3,0.25,0.684931507,0.005,0.11
23033953,115.794261,-31.877803,6,2010,40330,2,0.25,0.40192926,0.35,0.022
2988,115.768538,-32.496953,7,2016,42552,3,1.03,0.932126697,0.005,0.07
3114,115.956772,-32.235627,6,2016,42522,1.3,0.25,0.925925926,0.01,0.01
3116,115.978162,-32.18028,6,2016,42522,19.9,0.85,0.944444444,0.01,0.04
4441,115.815333,-31.859471,3,2016,42430,1.2,0.8,0.249221184,2.4,0.01
4372,115.794108,-31.891982,3,2016,42430,5.1,1.1,0.132370638,7.2,0.01
5546,115.803851,-31.86134,3,2016,42430,4.2,0.25,0.769230769,0.005,0.07
4370,115.795169,-31.925795,3,2016,42430,28,1.29,0.918149466,0.005,0.11
3048,115.84088,-32.195749,6,2016,42522,20,1.94,0.923809524,0.01,0.15
5079,115.823376,-31.725301,8,2008,39661,34,0.61,0.61928934,0.005,0.37
5103,115.852006,-31.752239,3,2016,42430,20,0.25,0.010455876,23.6,0.06
5038,115.810286,-31.649216,3,2016,42430,19.9,0.81,0.476470588,0.01,0.88
3148,115.818439,-32.090818,4,2016,42461,14.5,2.8,0.2104472,0.005,10.5
23028428,115.894989,-31.424368,1,2010,40179,120,3.7,0.880952381,0.1,0.4
23033945,115.914855,-31.463402,6,2010,40330,10,0.25,0.476190476,0.005,0.27
23028430,115.895025,-31.424345,6,2009,39965,50,2.1,0.696517413,0.005,0.91
23028429,115.894973,-31.424353,6,2009,39965,5,0.25,0.214592275,0.005,0.91
23033943,115.914813,-31.463384,6,2010,40330,30,0.56,0.634201586,0.013,0.31
13582505,115.914668,-32.156115,2,2008,39479,23,0.5,0.742942051,0.013,0.16
23023903,115.949413,-32.164861,2,2008,39479,23,0.67,0.708994709,0.005,0.27
23023995,115.943078,-32.164267,10,2007,39356,23,0.68,0.326139089,0.005,1.4
4786,115.923599,-32.108985,4,2016,42461,19.9,0.555,0.616666667,0.005,0.34
23023904,115.949445,-32.164825,2,2008,39479,39,0.69,0.516853933,0.005,0.64
23023996,115.9452,-32.165,2,2008,39479,14,0.25,0.27027027,0.005,0.67
23023997,115.945191,-32.164961,2,2008,39479,26,0.51,0.603550296,0.005,0.33
3104,115.916409,-32.180152,4,2016,42461,120,3.57,0.672950047,0.005,1.73
12781481,115.851815,-32.14185,3,2016,42430,108,2.86,0.839941263,0.005,0.54
23028431,115.75613,-31.4497,5,2011,40664,14,0.25,0.387596899,0.005,0.39
5135,115.853098,-31.686009,3,2016,42430,23,0.6,0.975609756,0.005,0.01
5462,115.840201,-32.141454,3,2016,42430,34,2.15,0.796296296,0.37,0.18
5351,115.949923,-31.759389,4,2016,42461,19.3,2.91,0.968386023,0.005,0.09
23028432,115.75613,-31.4497,5,2011,40664,15,0.25,0.4,0.005,0.37
23029947,115.852718,-31.556181,8,2009,40026,3,0.25,0.454545455,0.01,0.29
5248,115.893605,-31.682905,3,2016,42430,38,1.3,0.988593156,0.005,0.01
3333,115.8412,-32.1452,6,2009,39965,48,1.4,0.777777778,0.01,0.39
5173,115.862889,-31.672224,3,2016,42430,12.5,1.1,0.986547085,0.005,0.01
23029948,115.844802,-31.556471,8,2009,40026,4,0.25,0.602409639,0.005,0.16
5176,115.875065,-31.803622,3,2016,42430,11.4,0.25,0.016600266,14.8,0.01
23023913,115.830101,-32.078765,9,2012,41154,25,0.98,0.720588235,0.01,0.37
3049,115.842178,-32.172027,6,2016,42522,19.3,4.4,0.75796727,0.005,1.4
12282818,115.85386,-31.666774,3,2016,42430,16.3,0.25,0.520833333,0.03,0.2
5249,115.895378,-31.6621,3,2016,42430,19.9,1.03,0.854771784,0.005,0.17
5457,115.836841,-32.160485,6,2016,42522,11.2,1.38,0.8625,0.01,0.21
23028612,115.956928,-31.747287,7,2009,39995,27,0.25,0.37037037,0.005,0.42
5144,115.84583,-31.633615,3,2016,42430,17.7,0.85,0.769230769,0.005,0.25
3071,115.868286,-32.19293,6,2016,42522,6.1,0.25,0.694444444,0.02,0.09
15410417,115.914613,-31.70492,3,2016,42430,61,2.72,0.776034237,0.005,0.78
11188904,115.859411,-32.22021,6,2016,42522,19.9,4.18,0.95,0.12,0.1
23023910,115.827589,-32.07885,6,2008,39600,43,1.1,0.817843866,0.015,0.23
23028434,115.757025,-31.450559,5,2011,40664,10,0.25,0.434782609,0.005,0.32
12282750,115.946931,-31.735994,4,2016,42461,10.1,2.5,0.925925926,0.03,0.17
23029949,115.844802,-31.556471,8,2009,40026,3,0.25,0.45045045,0.005,0.3
23028435,115.757025,-31.450559,5,2011,40664,12,0.25,0.427350427,0.005,0.33
23028617,115.914963,-31.704879,8,2009,40026,120,1.2,0.12244898,2.9,5.7
23028437,115.760519,-31.453861,5,2011,40664,15,0.25,0.314465409,0.005,0.54
3181,115.849141,-32.146282,3,2016,42430,49,2.34,0.806896552,0.22,0.34
4545,115.875949,-31.891028,3,2016,42430,16.7,1.32,0.939501779,0.005,0.08
4863,115.942775,-31.838213,4,2016,42461,4.6,0.25,0.925925926,0.01,0.01
23044836,115.935908,-31.991535,3,2016,42430,13.8,1.16,0.725,0.01,0.43
23041042,115.937067,-31.990817,6,2016,42522,5.8,0.8,0.8,0.14,0.06
5086,115.835541,-31.724872,4,2016,42461,19.7,1.49,0.986754967,0.01,0.01
5026,115.810847,-31.727837,4,2007,39173,50,2.2,0.737018425,0.005,0.78
5091,115.828555,-31.658437,3,2016,42430,19.6,0.25,0.943396226,0.005,0.01
5075,115.823379,-31.733475,4,2016,42461,5.5,2.22,0.822222222,0.42,0.06
23023999,115.811689,-31.728035,8,2008,39661,24,1.4,0.769230769,0.03,0.39
4686,115.915289,-32.116212,4,2016,42461,15.8,2.833,0.809891366,0.005,0.66
13581943,115.927811,-32.094065,3,2016,42430,2.3,2.6,0.925266904,0.2,0.01
4785,115.926495,-32.124183,4,2016,42461,68,4.34,0.985244041,0.005,0.06
23041044,115.936417,-31.9904,3,2016,42430,2.6,1.86,0.93,0.02,0.12
11550412,115.904054,-32.087745,3,2016,42430,16.9,1.31,0.81875,0.01,0.28
4512,115.859081,-31.907639,3,2016,42430,19.9,0.25,0.344827586,0.005,0.47
3155,115.845558,-32.135571,3,2016,42430,16,0.58,0.141463415,3.5,0.02
10022448,115.835988,-32.096627,3,2016,42430,4.6,0.69,0.971830986,0.01,0.01
BM5A,115.835988,-32.096627,3,2016,42430,2.8,0.25,0.943396226,0.005,0.01
4697,115.904988,-32.016495,3,2016,42430,93,3.67,0.916354557,0.005,0.33
4816,115.919147,-31.871691,3,2016,42430,6,1.3,0.809968847,0.005,0.3
4851,115.94094,-31.855528,4,2016,42461,4.5,1.09,0.986425339,0.005,0.01
4852,115.951012,-31.855575,4,2016,42461,4.2,3.9,0.906976744,0.39,0.01
23023900,115.9286,-32.159003,2,2008,39479,46,1.2,0.624674649,0.031,0.69
23023906,115.940304,-32.151939,2,2008,39479,41,1.4,0.918032787,0.005,0.12
4887,115.965725,-31.85557,4,2016,42461,19.9,2.1,0.992907801,0.005,0.01
3077,115.888893,-32.405721,7,2016,42552,19.1,0.98,0.882882883,0.12,0.01
4858,115.950865,-31.846129,4,2016,42461,2.5,0.76,0.95,0.01,0.03
10117850,115.877647,-32.161404,4,2016,42461,88,6.1,0.847222222,0.02,1.08
5205,115.880987,-31.631219,3,2016,42430,18.6,1.1,0.986547085,0.005,0.01
5186,115.881237,-31.751792,3,2016,42430,19,0.25,0.649350649,0.005,0.13
3068,115.875984,-32.46829,7,2016,42552,18.3,0.25,0.446428571,0.3,0.01
3052,115.851766,-32.4062,7,2016,42552,19.8,4.5,0.957446809,0.19,0.01
4586,115.8888,-32.1377,4,2016,42461,4.1,2.167,0.985,0.013,0.02
3086,115.889308,-32.180135,4,2016,42461,5.3,0.62,0.770186335,0.005,0.18
5359,115.948339,-31.721873,3,2016,42430,22,1.82,0.907730673,0.005,0.18
5321,115.929037,-31.720245,3,2016,42430,109,3.65,0.68803016,0.005,1.65
3205,115.872223,-32.115268,4,2016,42461,0.9,0.25,0.037537538,6.4,0.01
5319,115.922079,-31.727591,3,2016,42430,18.6,1.67,0.759090909,0.01,0.52
5201,115.878524,-31.691696,3,2016,42430,20,0.25,0.142450142,0.005,1.5
11551298,115.881613,-32.165823,4,2016,42461,18.9,1.31,0.870431894,0.005,0.19
5308,115.930453,-31.759381,4,2016,42461,61,3.28,0.911111111,0.01,0.31
10022456,115.839664,-32.134387,3,2016,42430,18.6,1.02,0.781609195,0.005,0.28
4521,115.871795,-32.091467,3,2016,42430,14.2,5.88,0.948387097,0.01,0.31
5323,115.93359,-31.713522,3,2016,42430,6.7,4.3,0.934782609,0.01,0.29
4675,115.906284,-32.153093,4,2016,42461,11.9,3.04,0.867332382,0.005,0.46
14136052,115.962018,-31.835566,4,2016,42461,19.9,1.19,0.987551867,0.005,0.01
4917,115.984977,-31.819441,4,2016,42461,189,5.64,0.988606486,0.005,0.06
23028613,115.973907,-31.753273,7,2009,39995,68,1.9,0.655172414,0.47,0.53
5383,115.957315,-31.696022,3,2016,42430,13,2.482,0.993992791,0.005,0.01
4522,115.868908,-32.082438,3,2016,42430,17.7,1.1,0.365448505,1.9,0.01
23000613,115.86854,-31.711088,3,2016,42430,12.8,0.25,0.943396226,0.005,0.01
5287,115.905043,-31.676348,3,2016,42430,19.9,2.06,0.895652174,0.01,0.23
23028433,115.75613,-31.4497,5,2011,40664,8,0.25,0.336021505,0.014,0.48
3212,115.888798,-32.149622,4,2016,42461,9.4,0.65,0.588235294,0.005,0.45
4674,115.906413,-32.16363,4,2016,42461,12.2,2.05,0.82,0.03,0.42
23028436,115.757025,-31.450559,5,2011,40664,9,0.25,0.303030303,0.005,0.57
5174,115.855377,-31.654841,3,2016,42430,39,0.25,0.943396226,0.005,0.01
5553,115.881468,-31.995893,3,2016,42430,29,0.93,0.925373134,0.005,0.07
5259,115.918007,-31.803607,4,2016,42461,3.6,1.79,0.939632546,0.005,0.11
3075,115.890148,-32.440417,7,2016,42552,11.1,3.11,0.840540541,0.55,0.04
12781594,115.873964,-31.7899,3,2016,42430,5.4,0.25,0.431034483,0.32,0.01
4695,115.913908,-32.07613,3,2016,42430,16.1,1.7,0.42394015,2.3,0.01
23041043,115.936467,-31.99195,6,2016,42522,3.6,0.51,0.723404255,0.005,0.19
23028426,115.886301,-31.424468,6,2009,39965,44,0.9,0.199778024,0.005,3.6
23028427,115.886302,-31.42448,5,2011,40664,17,1.2,0.291332848,0.019,2.9
23033947,115.811807,-31.813016,6,2009,39965,22,1.4,0.883280757,0.005,0.18
23028606,115.677009,-31.544034,6,2009,39965,1,0.25,0.160771704,0.005,1.3
23028607,115.677026,-31.544043,6,2009,39965,4,0.25,0.574712644,0.005,0.18
23028603,115.688342,-31.557665,6,2009,39965,0.5,0.25,0.454545455,0.29,0.01
12078913,115.846845,-32.214079,6,2009,39965,11,0.25,0.657894737,0.01,0.12
5584,115.735685,-31.635277,9,2008,39692,4,0.25,0.720461095,0.005,0.092
23023989,115.771047,-31.721887,9,2008,39692,32,1.6,0.886426593,0.005,0.2
8297726,115.68698,-31.554633,3,2016,42430,0.1,0.75,0.625,0.21,0.24
23028599,115.683979,-31.555702,6,2009,39965,0.5,0.25,0.471698113,0.27,0.01
23028600,115.683958,-31.5557,6,2009,39965,0.5,0.25,0.446428571,0.3,0.01
23023907,115.822338,-32.076871,9,2012,41153,44,2.3,0.866290019,0.035,0.32
5161,115.853211,-31.73759,6,2009,39965,8,0.25,0.542299349,0.011,0.2
5163,115.85321,-31.737644,6,2009,39965,8,0.25,0.847457627,0.005,0.04
5158,115.85321,-31.746258,3,2016,42430,8.8,0.25,0.023148148,10.4,0.15
5077,115.823376,-31.725301,8,2008,39661,71,1.6,0.88691796,0.14,0.064
23023936,115.940357,-32.152003,2,2008,39479,41,1.2,0.498960499,0.005,1.2
4676,115.906925,-32.141137,4,2016,42461,3,3.686,0.993530997,0.014,0.01
4891,115.957309,-31.846362,4,2016,42461,103,2.59,0.994241843,0.005,0.01
4782,115.922077,-32.15369,4,2016,42461,2,0.25,0.694444444,0.01,0.1
23033944,115.914823,-31.463411,6,2010,40330,31,0.25,0.416666667,0.01,0.34
4502,115.844467,-31.938774,3,2016,42430,8.6,2.31,0.922155689,0.005,0.19
4970,115.784335,-31.725631,9,2008,39692,7,0.25,0.912408759,0.014,0.01
12282904,115.964113,-31.704099,8,2009,40026,75,1.6,0.951814396,0.005,0.076
